family,param,value,n_rows,source,engine_version,numerics
bare_c325,qc_rate,0.0368788,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,qc_lnQ0,3.80889,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,qi_p,3.15462,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,qi_lnA,-2.11594,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,qi_sat,47917.5,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,n_lo,60,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,n_hi,195,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,lam_nm,1559.01,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,w_Finf,20.0595,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,w_B,25.5407,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c325,w_c,0.0342882,8,result_N60_TM_avg_C325_Ybox8p0_Zbox8p8.mat (+7),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c276,qc_rate,0.0309101,5,result_N110_TM_avg_C276_Ybox8p0_Zbox8p8.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c276,qc_lnQ0,3.98753,5,result_N110_TM_avg_C276_Ybox8p0_Zbox8p8.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
bare_c276,qi_p,3.70814,5,result_N110_TM_avg_C276_Ybox8p0_Zbox8p8.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
