ID,Folder,Subname
1A0,left_down,"corr300,Np160"
1A1,left_down,"corr300,Np160,ts50"
2A1,left_down,"corr300,Np160,ts70"
3A1,left_down,"corr300,Np160,ts100"
4A1,left_down,"corr300,Np160,ts115"
5A1,left_down,"corr300,Np160,ts130"
6A1,left_down,"corr300,Np160,ts150"
7A1,left_down,"corr300,Np160,ts180"
8A1,left_down,"corr300,Np160,ts200"
1A2,left_down,"corr300,Np160,Nt1,dwm50,ts0"
2A2,left_down,"corr300,Np160,Nt1,dwm100,ts0"
3A2,left_down,"corr300,Np160,Nt1,dwm125,ts0"
1T500,left_down,"corr500,Np100,Nt28,dwm4,tanh_a0.4,dpm-1e5"
2T500,left_down,"corr500,Np100,Nt28,dwm4,tanh_a0.4,dpm-1e5"
3T500,left_down,"corr500,Np102,Nt28,dwm4,tanh_a0.4,dpm-1e5"
4T500,left_down,"corr500,Np102,Nt28,dwm4,tanh_a0.4,dpm-1e5"
4A2,left_up,"corr300,Np160,Nt1,dwm150,ts0"
5A2,left_up,"corr300,Np160,Nt1,dwm200,ts0"
6A2,left_up,"corr300,Np160,Nt1,dwm50,ts100"
7A2,left_up,"corr300,Np160,Nt1,dwm100,ts100"
8A2,left_up,"corr300,Np160,Nt1,dwm125,ts100"
10A2,left_up,"corr300,Np160,Nt1,dwm200,ts100"
11A2,left_up,"corr300,Np160,Nt1,dwm50,ts130"
12A2,left_up,"corr300,Np160,Nt1,dwm100,ts130"
13A2,left_up,"corr300,Np160,Nt1,dwm125,ts130"
14A2,left_up,"corr300,Np160,Nt1,dwm150,ts130"
15A2,left_up,"corr300,Np160,Nt1,dwm200,ts130"
1T500,left_up,"corr500,Np100,Nt20,dwm4,tanh_a0.4,dpm-1e5"
2T500,left_up,"corr500,Np100,Nt20,dwm4,tanh_a0.4,dpm-1e5"
3T500,left_up,"corr500,Np102,Nt20,dwm4,tanh_a0.4,dpm-1e5"
4T500,left_up,"corr500,Np102,Nt20,dwm4,tanh_a0.4,dpm-1e5"
1B0,right_down,"corr250,Np200"
1B1,right_down,"corr250,Np200,ts50"
2B1,right_down,"corr250,Np200,ts70"
3B1,right_down,"corr250,Np200,ts100"
4B1,right_down,"corr250,Np200,ts115"
5B1,right_down,"corr250,Np200,ts130"
6B1,right_down,"corr250,Np200,ts150"
7B1,right_down,"corr250,Np200,ts180"
8B1,right_down,"corr250,Np200,ts200"
1B2,right_down,"corr250,Np200,ts70"
2B2,right_down,"corr250,Np200,Nt1,dwm85,ts0"
3B2,right_down,"corr250,Np200,Nt1,dwm105,ts0"
1T500,right_down,"corr500,Np100,Nt28,dwm4,tanh_a0.4,dpm-1e5"
2T500,right_down,"corr500,Np100,Nt28,dwm4,tanh_a0.4,dpm-1e5"
3T500,right_down,"corr500,Np102,Nt28,dwm4,tanh_a0.4,dpm-1e5"
4T500,right_down,"corr500,Np102,Nt28,dwm4,tanh_a0.4,dpm-1e5"
5B2,right_up,"corr250,Np200,Nt1,dwm165,ts0"
6B2,right_up,"corr250,Np200,Nt1,dwm40,ts100"
7B2,right_up,"corr250,Np200,Nt1,dwm85,ts100"
8B2,right_up,"corr250,Np200,Nt1,dwm105,ts100"
9B2,right_up,"corr250,Np200,Nt1,dwm125,ts100"
10B2,right_up,"corr250,Np200,Nt1,dwm165,ts100"
11B2,right_up,"corr250,Np200,Nt1,dwm40,ts130"
12B2,right_up,"corr250,Np200,Nt1,dwm85,ts130"
13B2,right_up,"corr250,Np200,Nt1,dwm105,ts130"
14B2,right_up,"corr250,Np200,Nt1,dwm125,ts130"
15B2,right_up,"corr250,Np200,Nt1,dwm165,ts130"
1T500,right_up,"corr500,Np100,Nt29,dwm4,tanh_a0.4,dpm-1e5"
2T500,right_up,"corr500,Np100,Nt29,dwm4,tanh_a0.4,dpm-1e5"
3T500,right_up,"corr500,Np102,Nt29,dwm4,tanh_a0.4,dpm-1e5"
4T500,right_up,"corr500,Np102,Nt29,dwm4,tanh_a0.4,dpm-1e5"
